sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC,replicate_ID
A2058_c903R1_KY-2,SC-000788.KY01,14,KY-2,A,2DS,ACH-000788,MC-000788-UK2d,KY,True,ACH-000788_KY-2_A2058_c903R1_KY-2
A2058_c903R2_KY-2,SC-000788.KY01,14,KY-2,B,2DS,ACH-000788,MC-000788-UK2d,KY,True,ACH-000788_KY-2_A2058_c903R2_KY-2
A2058_c903R3_KY-2,SC-000788.KY01,14,KY-2,C,2DS,ACH-000788,MC-000788-UK2d,KY,True,ACH-000788_KY-2_A2058_c903R3_KY-2
A2780_c905R1_KY-1,SC-000657.KY01,14,KY-1,A,2DS,ACH-000657,MC-000657-ERaD,KY,True,ACH-000657_KY-1_A2780_c905R1_KY-1
A2780_c905R2_KY-1,SC-000657.KY01,14,KY-1,B,2DS,ACH-000657,MC-000657-ERaD,KY,True,ACH-000657_KY-1_A2780_c905R2_KY-1
ESS1_C908R2_KY-1,SC-000913.KY01,14,KY-1,A,2DS,ACH-000913,MC-000913-mRWp,KY,True,ACH-000913_KY-1_ESS1_C908R2_KY-1
ESS1_C908R3_KY-1,SC-000913.KY01,14,KY-1,B,2DS,ACH-000913,MC-000913-mRWp,KY,True,ACH-000913_KY-1_ESS1_C908R3_KY-1
H1915_c906R1_KY-1,SC-000434.KY01,14,KY-1,A,2DS,ACH-000434,MC-000434-JJXr,KY,True,ACH-000434_KY-1_H1915_c906R1_KY-1
H1915_c906R2_KY-1,SC-000434.KY01,14,KY-1,B,2DS,ACH-000434,MC-000434-JJXr,KY,True,ACH-000434_KY-1_H1915_c906R2_KY-1
H1915_c906R3_KY-1,SC-000434.KY01,14,KY-1,C,2DS,ACH-000434,MC-000434-JJXr,KY,True,ACH-000434_KY-1_H1915_c906R3_KY-1
H2087_c906R1_KY-1,SC-000841.KY01,14,KY-1,A,2DS,ACH-000841,MC-000841-gQHi,KY,True,ACH-000841_KY-1_H2087_c906R1_KY-1
H2087_c906R2_KY-1,SC-000841.KY01,14,KY-1,B,2DS,ACH-000841,MC-000841-gQHi,KY,True,ACH-000841_KY-1_H2087_c906R2_KY-1
H2087_c906R3_KY-1,SC-000841.KY01,14,KY-1,C,2DS,ACH-000841,MC-000841-gQHi,KY,True,ACH-000841_KY-1_H2087_c906R3_KY-1
HCC299_c903R1_KY-2,SC-001081.KY01,14,KY-2,A,2DS,ACH-001081,MC-001081-EiKC,KY,True,ACH-001081_KY-2_HCC299_c903R1_KY-2
HCC299_c903R2_KY-2,SC-001081.KY01,14,KY-2,B,2DS,ACH-001081,MC-001081-EiKC,KY,True,ACH-001081_KY-2_HCC299_c903R2_KY-2
HCC299_c903R3_KY-2,SC-001081.KY01,14,KY-2,C,2DS,ACH-001081,MC-001081-EiKC,KY,True,ACH-001081_KY-2_HCC299_c903R3_KY-2
HEC1_c907R1_KY-1,SC-001517.KY01,14,KY-1,A,2DS,ACH-001517,MC-001517-TVRG,KY,True,ACH-001517_KY-1_HEC1_c907R1_KY-1
HEC1_c907R2_KY-1,SC-001517.KY01,14,KY-1,B,2DS,ACH-001517,MC-001517-TVRG,KY,True,ACH-001517_KY-1_HEC1_c907R2_KY-1
HEC1_c907R3_KY-1,SC-001517.KY01,14,KY-1,C,2DS,ACH-001517,MC-001517-TVRG,KY,True,ACH-001517_KY-1_HEC1_c907R3_KY-1
KM12_c908R1_100_KY-1,SC-000969.KY01,14,KY-1,A,2DS,ACH-000969,MC-000969-8Uk9,KY,True,ACH-000969_KY-1_KM12_c908R1_100_KY-1
KM12_c908R2_100_KY-1,SC-000969.KY01,14,KY-1,B,2DS,ACH-000969,MC-000969-8Uk9,KY,True,ACH-000969_KY-1_KM12_c908R2_100_KY-1
KM12_c908R3_100_KY-1,SC-000969.KY01,14,KY-1,C,2DS,ACH-000969,MC-000969-8Uk9,KY,True,ACH-000969_KY-1_KM12_c908R3_100_KY-1
KMS11_c907R1_KY-1,SC-000714.KY01,14,KY-1,A,2DS,ACH-000714,MC-000714-Ep4x,KY,True,ACH-000714_KY-1_KMS11_c907R1_KY-1
KMS11_c907R2_KY-1,SC-000714.KY01,14,KY-1,B,2DS,ACH-000714,MC-000714-Ep4x,KY,True,ACH-000714_KY-1_KMS11_c907R2_KY-1
KMS11_c907R3_KY-1,SC-000714.KY01,14,KY-1,C,2DS,ACH-000714,MC-000714-Ep4x,KY,True,ACH-000714_KY-1_KMS11_c907R3_KY-1
KYSE15_c907R1_KY-1,SC-000855.KY01,14,KY-1,A,2DS,ACH-000855,MC-000855-P9gt,KY,True,ACH-000855_KY-1_KYSE15_c907R1_KY-1
KYSE15_c907R2_KY-1,SC-000855.KY01,14,KY-1,B,2DS,ACH-000855,MC-000855-P9gt,KY,True,ACH-000855_KY-1_KYSE15_c907R2_KY-1
KYSE15_c907R3_KY-1,SC-000855.KY01,14,KY-1,C,2DS,ACH-000855,MC-000855-P9gt,KY,True,ACH-000855_KY-1_KYSE15_c907R3_KY-1
KYSE70_c907R1_KY-1,SC-000784.KY01,14,KY-1,A,2DS,ACH-000784,MC-000784-ayo7,KY,True,ACH-000784_KY-1_KYSE70_c907R1_KY-1
KYSE70_c907R2_KY-1,SC-000784.KY01,14,KY-1,B,2DS,ACH-000784,MC-000784-ayo7,KY,True,ACH-000784_KY-1_KYSE70_c907R2_KY-1
KYSE70_c907R3_KY-1,SC-000784.KY01,14,KY-1,C,2DS,ACH-000784,MC-000784-ayo7,KY,True,ACH-000784_KY-1_KYSE70_c907R3_KY-1
L363_c907R4_KY-1,SC-000183.KY01,14,KY-1,A,2DS,ACH-000183,MC-000183-QKEz,KY,True,ACH-000183_KY-1_L363_c907R4_KY-1
L363_c907R5_KY-1,SC-000183.KY01,14,KY-1,B,2DS,ACH-000183,MC-000183-QKEz,KY,True,ACH-000183_KY-1_L363_c907R5_KY-1
L363_c907R6_KY-1,SC-000183.KY01,14,KY-1,C,2DS,ACH-000183,MC-000183-QKEz,KY,True,ACH-000183_KY-1_L363_c907R6_KY-1
LB771H_c908R1_KY-1,SC-002265.KY01,14,KY-1,A,2DS,ACH-002265,MC-002265-Hq0I,KY,True,ACH-002265_KY-1_LB771H_c908R1_KY-1
LB771H_c908R2_KY-1,SC-002265.KY01,14,KY-1,B,2DS,ACH-002265,MC-002265-Hq0I,KY,True,ACH-002265_KY-1_LB771H_c908R2_KY-1
LB771H_c908R3_KY-1,SC-002265.KY01,14,KY-1,C,2DS,ACH-002265,MC-002265-Hq0I,KY,True,ACH-002265_KY-1_LB771H_c908R3_KY-1
LXF289_c906R1_KY-1,SC-000787.KY01,14,KY-1,A,2DS,ACH-000787,MC-000787-eQaU,KY,True,ACH-000787_KY-1_LXF289_c906R1_KY-1
LXF289_c906R2_KY-1,SC-000787.KY01,14,KY-1,B,2DS,ACH-000787,MC-000787-eQaU,KY,True,ACH-000787_KY-1_LXF289_c906R2_KY-1
LXF289_c906R3_KY-1,SC-000787.KY01,14,KY-1,C,2DS,ACH-000787,MC-000787-eQaU,KY,True,ACH-000787_KY-1_LXF289_c906R3_KY-1
MDST8_c903R3_KY-2,SC-000935.KY01,14,KY-2,A,2DS,ACH-000935,MC-000935-4xuf,KY,True,ACH-000935_KY-2_MDST8_c903R3_KY-2
MFE280_C908R1_KY-1,SC-000192.KY01,14,KY-1,A,2DS,ACH-000192,MC-000192-cA5R,KY,True,ACH-000192_KY-1_MFE280_C908R1_KY-1
MFE280_C908R2_KY-1,SC-000192.KY01,14,KY-1,B,2DS,ACH-000192,MC-000192-cA5R,KY,True,ACH-000192_KY-1_MFE280_C908R2_KY-1
MFE280_C908R3_KY-1,SC-000192.KY01,14,KY-1,C,2DS,ACH-000192,MC-000192-cA5R,KY,True,ACH-000192_KY-1_MFE280_C908R3_KY-1
OVISE_c905R2_KY-1,SC-000527.KY01,14,KY-1,A,2DS,ACH-000527,MC-000527-sDUu,KY,True,ACH-000527_KY-1_OVISE_c905R2_KY-1
OVISE_c905R3_KY-1,SC-000527.KY01,14,KY-1,B,2DS,ACH-000527,MC-000527-sDUu,KY,True,ACH-000527_KY-1_OVISE_c905R3_KY-1
RCCFG2_C908R1_KY-1,SC-002189.KY01,14,KY-1,A,2DS,ACH-002189,MC-002189-EopU,KY,True,ACH-002189_KY-1_RCCFG2_C908R1_KY-1
RCCFG2_C908R2_KY-1,SC-002189.KY01,14,KY-1,B,2DS,ACH-002189,MC-002189-EopU,KY,True,ACH-002189_KY-1_RCCFG2_C908R2_KY-1
RCCFG2_C908R3_KY-1,SC-002189.KY01,14,KY-1,C,2DS,ACH-002189,MC-002189-EopU,KY,True,ACH-002189_KY-1_RCCFG2_C908R3_KY-1
SAS_c907R1_KY-1,SC-002029.KY01,14,KY-1,A,2DS,ACH-002029,MC-002029-eTYU,KY,True,ACH-002029_KY-1_SAS_c907R1_KY-1
SAS_c907R2_KY-1,SC-002029.KY01,14,KY-1,B,2DS,ACH-002029,MC-002029-eTYU,KY,True,ACH-002029_KY-1_SAS_c907R2_KY-1
SAS_c907R3_KY-1,SC-002029.KY01,14,KY-1,C,2DS,ACH-002029,MC-002029-eTYU,KY,True,ACH-002029_KY-1_SAS_c907R3_KY-1
SKNSH_c906R1_KY-1,SC-000149.KY01,14,KY-1,A,2DS,ACH-000149,MC-000149-T5h1,KY,True,ACH-000149_KY-1_SKNSH_c906R1_KY-1
SKNSH_c906R2_KY-1,SC-000149.KY01,14,KY-1,B,2DS,ACH-000149,MC-000149-T5h1,KY,True,ACH-000149_KY-1_SKNSH_c906R2_KY-1
SKNSH_c906R3_KY-1,SC-000149.KY01,14,KY-1,C,2DS,ACH-000149,MC-000149-T5h1,KY,True,ACH-000149_KY-1_SKNSH_c906R3_KY-1
SNU81_c903R1_KY-2,SC-000991.KY01,14,KY-2,A,2DS,ACH-000991,MC-000991-vB9l,KY,True,ACH-000991_KY-2_SNU81_c903R1_KY-2
SNU81_c903R2_KY-2,SC-000991.KY01,14,KY-2,B,2DS,ACH-000991,MC-000991-vB9l,KY,True,ACH-000991_KY-2_SNU81_c903R2_KY-2
SNU81_c903R3_KY-2,SC-000991.KY01,14,KY-2,C,2DS,ACH-000991,MC-000991-vB9l,KY,True,ACH-000991_KY-2_SNU81_c903R3_KY-2
SW48_C902R1_P1D14_KY-2,SC-000958.KY01,14,KY-2,A,2DS,ACH-000958,MC-000958-mNiZ,KY,True,ACH-000958_KY-2_SW48_C902R1_P1D14_KY-2
SW48_C902R2_P1D14_KY-2,SC-000958.KY01,14,KY-2,B,2DS,ACH-000958,MC-000958-mNiZ,KY,True,ACH-000958_KY-2_SW48_C902R2_P1D14_KY-2
SW48_C902R3_P1D14_KY-2,SC-000958.KY01,14,KY-2,C,2DS,ACH-000958,MC-000958-mNiZ,KY,True,ACH-000958_KY-2_SW48_C902R3_P1D14_KY-2
T47d_c903R2_KY-2,SC-000147.KY01,14,KY-2,A,2DS,ACH-000147,MC-000147-L6rc,KY,True,ACH-000147_KY-2_T47d_c903R2_KY-2
T47d_c903R3_KY-2,SC-000147.KY01,14,KY-2,B,2DS,ACH-000147,MC-000147-L6rc,KY,True,ACH-000147_KY-2_T47d_c903R3_KY-2
pDNA_batch_KY-1,pDNA,0,KY-1,,pDNA,pDNA,pDNA,KY,True,pDNA_KY-1_pDNA_batch_KY-1
pDNA_batch_KY-2,pDNA,0,KY-2,,pDNA,pDNA,pDNA,KY,True,pDNA_KY-2_pDNA_batch_KY-2
