replicate_ID,library,replicate_efficacy
ACH-000004_Avana-3_HEL-311Cas9_RepA_p4_Avana-3,avana,0.8488946915251666
ACH-000004_Avana-3_HEL-311Cas9_RepB_p4_Avana-3,avana,0.8390818587788661
ACH-000074_Avana-3_KU812-311cas9-RepA-p6_Avana-3,avana,0.8001766911668566
ACH-000074_Avana-3_KU812-311cas9-RepB-p6_Avana-3,avana,0.7376706120186522
ACH-000147_Avana-4_T47D-311Cas9-RepA-p6_Avana-4,avana,0.9004044631904387
ACH-000147_Avana-4_T47D-311Cas9-RepB-p6_Avana-4,avana,0.8984149269616788
ACH-000168_Avana-2_NOMO-1-311Cas9_RepA_p4_Avana-2,avana,0.6069234088840022
ACH-000168_Avana-2_NOMO-1-311Cas9_RepB_p4_Avana-2,avana,0.6170927677157154
ACH-000183_Avana-3_L363-311Cas9_RepA_p6_Avana-3,avana,0.9663246118015805
ACH-000183_Avana-3_L363-311Cas9_RepB_p6_Avana-3,avana,0.9671236395989683
ACH-000263_Avana-3_KASUMI-1-311cas9_RepA_p6_Avana-3,avana,0.45143593439382834
ACH-000263_Avana-3_KASUMI-1-311cas9_RepB_p6_Avana-3,avana,0.4393932791415349
ACH-000292_Avana-3_NCI-H841-311as9_RepA_p6_Avana-3,avana,0.655240933777586
ACH-000292_Avana-3_NCI-H841-311as9_RepB_p6_Avana-3,avana,0.6426362529442966
ACH-000334_Avana-3_DB-311Cas9_RepA_p3_Avana-3,avana,0.5983079067436283
ACH-000334_Avana-3_DB-311Cas9_RepB_p3_Avana-3,avana,0.5797416623840452
ACH-000396_Avana-3_J82-311Cas9_RepA_p5_Avana-3,avana,0.2695697089566327
ACH-000396_Avana-3_J82-311Cas9_RepB_p5_Avana-3,avana,0.2557601035722512
ACH-000404_Avana-3_K029AX-311cas9_RepB_p6_Avana-3,avana,0.5912786311353457
ACH-000406_Avana-3_U937-101Cas9 Rep A p6_Avana-3,avana,0.8985374778152447
ACH-000406_Avana-3_U937-101Cas9 Rep C p6_Avana-3,avana,0.8964950517054902
ACH-000406_Avana-3_U937-101Cas9 Rep D p6_Avana-3,avana,0.9002492659070895
ACH-000434_Avana-3_NCI-H1915-311Cas9_RepA_p6_Avana-3,avana,0.8795378813012419
ACH-000434_Avana-3_NCI-H1915-311Cas9_RepB_p6_Avana-3,avana,0.8632209617425558
ACH-000458_Avana-3_CJM-311Cas9_RepA_p7_Avana-3,avana,0.6221254076266068
ACH-000458_Avana-3_CJM-311Cas9_RepB_p7_Avana-3,avana,0.6361729905167968
ACH-000479_Avana-3_KNS-81-311cas9_RepA_p5_Avana-3,avana,0.5331883341287286
ACH-000479_Avana-3_KNS-81-311cas9_RepB_p5_Avana-3,avana,0.5327459030629953
ACH-000527_Avana-2_OVISE-311cas9 Rep A p6_Avana-2,avana,0.903926884897662
ACH-000527_Avana-2_OVISE-311cas9 Rep B p6_Avana-2,avana,0.9071450653726141
ACH-000527_Avana-2_OVISE-311cas9 Rep C p6_Avana-2,avana,0.9326539233830956
ACH-000605_Avana-3_TE6-311cas9_RepA_p6_Avana-3,avana,0.7024526179351359
ACH-000605_Avana-3_TE6-311cas9_RepB_p6_Avana-3,avana,0.680914633344585
ACH-000614_Avana-3_RVH421-311Cas9_RepA_p5_Avana-3,avana,0.8872758368632627
ACH-000614_Avana-3_RVH421-311Cas9_RepB_p5_Avana-3,avana,0.8749365609605996
ACH-000657_Avana-2_A2780-311cas9 Rep A p6_Avana-2,avana,0.9035580071462972
ACH-000657_Avana-2_A2780-311cas9 Rep B p6_Avana-2,avana,0.9035655486688569
ACH-000750_Avana-2_LOXIMVI-311Cas9_RepA_p6_Avana-2,avana,0.09392953929539428
ACH-000750_Avana-2_LOXIMVI-311Cas9_RepB_p6_Avana-2,avana,0.06773524781515694
ACH-000774_Avana-3_RERF-LC-Ad2-311cas9_RepA_p6_Avana-3,avana,0.766066611228534
ACH-000774_Avana-3_RERF-LC-Ad2-311cas9_RepB_p6_Avana-3,avana,0.7839996575318288
ACH-000787_Avana-3_LXF-289-311cas9 Rep B p6_Avana-3,avana,0.8603542867876987
ACH-000787_Avana-3_LXF-289-311cas9 Rep C p6_Avana-3,avana,0.8653689889733003
ACH-000787_Avana-3_LXF-289-311cas9 Rep D p6_Avana-3,avana,0.8780365841322169
ACH-000788_Avana-3_A2058-311cas9_RepA_p6_Avana-3,avana,0.9771763204364365
ACH-000788_Avana-3_A2058-311cas9_RepB_p6_Avana-3,avana,0.981907805969785
ACH-000912_Avana-3_NCI-H2286-311caa9_RepA_p6_Avana-3,avana,0.9467504545762953
ACH-000912_Avana-3_NCI-H2286-311caa9_RepB_p6_Avana-3,avana,0.9342465107039096
ACH-000935_Avana-3_MDST8-311Cas9 Rep A p6_Avana-3,avana,0.6053288868357882
ACH-000935_Avana-3_MDST8-311Cas9 Rep C p6_Avana-3,avana,0.6319127078449827
ACH-000935_Avana-3_MDST8-311Cas9 Rep D p6_Avana-3,avana,0.6839077603558101
ACH-000937_Avana-3_PF382-311CAS9_RepA_p6_Avana-3,avana,0.966653395660437
ACH-000937_Avana-3_PF382-311CAS9_RepB_p6_Avana-3,avana,0.9592191460899092
ACH-000946_Avana-3_HEC265-311Cas9_RepA_p6_Avana-3,avana,0.8570169291558815
ACH-000946_Avana-3_HEC265-311Cas9_RepB_p6_Avana-3,avana,0.8503389930473366
ACH-000955_Avana-4_SNU407-311Cas9_RepB_p6_Avana-4,avana,0.037539845116635114
ACH-000988_Avana-3_MFE-319-311Cas9_RepA_p6_Avana-3,avana,0.8353949731821817
ACH-000988_Avana-3_MFE-319-311Cas9_RepB_p6_Avana-3,avana,0.8260418326719485
ACH-000993_Avana-3_JHUEM7-311Cas9_RepA_p5_Avana-3,avana,0.8861614816054905
ACH-000993_Avana-3_JHUEM7-311Cas9_RepB_p5_Avana-3,avana,0.892719243008725
ACH-000996_Avana-3_HEC-251-311Cas9_RepA_p5_Avana-3,avana,0.6268276918732947
ACH-000996_Avana-3_HEC-251-311Cas9_RepB_p5_Avana-3,avana,0.6464120204843375
ACH-001129_Avana-3_MONO-MAC1-311cas9_RepA_p6_Avana-3,avana,0.29438950316960777
ACH-001129_Avana-3_MONO-MAC1-311cas9_RepB_p6_Avana-3,avana,0.2760646808008065
ACH-001303_Avana-3_NB1643-311Cas9_RepA_p4_Avana-3,avana,0.5326984731256089
ACH-001303_Avana-3_NB1643-311Cas9_RepB_p4_Avana-3,avana,0.5765243251511296
ACH-001411_Avana-3_UMUC5-311Cas9_RepA_p6_Avana-3,avana,0.4619412666758649
ACH-001411_Avana-3_UMUC5-311Cas9_RepB_p6_Avana-3,avana,0.4432204007043854
ACH-001533_Avana-4_KARPAS1718-311cas9-RepA-p6_Avana-4,avana,0.5572049774095149
ACH-001533_Avana-4_KARPAS1718-311cas9-RepB-p6_Avana-4,avana,0.5626103063903594
ACH-001554_Avana-3_MEL202-311cas9_RepA_p6_Avana-3,avana,0.83983899938443
ACH-001554_Avana-3_MEL202-311cas9_RepB_p6_Avana-3,avana,0.8795858736917228
ACH-001563_Avana-3_MM127-311cas9_RepA_p5_Avana-3,avana,0.8412381546321641
ACH-001563_Avana-3_MM127-311cas9_RepB_p5_Avana-3,avana,0.8694239929191909
ACH-001636_Avana-4_RAMOS-311cas9-RepA-p6_Avana-4,avana,0.1030549694684707
ACH-001636_Avana-4_RAMOS-311cas9-RepB-p6_Avana-4,avana,0.15043611049025563
ACH-001674_Avana-4_TGW-311Cas9-RepA-P6_Avana-4,avana,0.8306529947691264
ACH-001674_Avana-4_TGW-311Cas9-RepB-P6_Avana-4,avana,0.793240582676436
ACH-001736_Avana-3_HB11;19-311CAS9_RepA_p6_Avana-3,avana,0.8209307333309679
ACH-001736_Avana-3_HB11;19-311CAS9_RepB_p6_Avana-3,avana,0.7887019553061286
ACH-001836_Avana-3_ICC108-311cas9-RepA-p4_Avana-3,avana,0.9592660556813506
ACH-001836_Avana-3_ICC108-311cas9-RepB-p4_Avana-3,avana,0.9625851878207128
ACH-001842_Avana-3_ICC2-311cas9_RepA_p6_Avana-3,avana,0.5874645769155089
ACH-001842_Avana-3_ICC2-311cas9_RepB_p6_Avana-3,avana,0.6051833213930405
ACH-001843_Avana-3_ICC3-311cas9_RepA_p6_Avana-3,avana,0.9819206557177189
ACH-001843_Avana-3_ICC3-311cas9_RepB_p6_Avana-3,avana,0.979425491064074
ACH-002029_Avana-4_SAS-311cas9-RepA-p6_Avana-4,avana,0.9019749007815263
ACH-002029_Avana-4_SAS-311cas9-RepB-p6_Avana-4,avana,0.9121209970746744
ACH-000614_Avana-4_RVH421RPMI-311Cas9-RepA-p6_Avana-4,avana,0.9457274500971583
ACH-000614_Avana-4_RVH421RPMI-311Cas9-RepB-p6_Avana-4,avana,0.9298016727347859
ACH-002926_Avana-4_UPMD1-311cas9-RepA-p6_Avana-4,avana,0.6900491721950203
ACH-002926_Avana-4_UPMD1-311cas9-RepB-p6_Avana-4,avana,0.7163047686000632
ACH-000788_KY-2_A2058_c903R1_KY-2,ky,0.9672692012723141
ACH-000788_KY-2_A2058_c903R2_KY-2,ky,0.9726074328226447
ACH-000788_KY-2_A2058_c903R3_KY-2,ky,0.9656418061825315
ACH-000657_KY-1_A2780_c905R1_KY-1,ky,0.9956507553465237
ACH-000657_KY-1_A2780_c905R2_KY-1,ky,0.9966384224418735
ACH-000913_KY-1_ESS1_C908R2_KY-1,ky,0.9956215551505303
ACH-000913_KY-1_ESS1_C908R3_KY-1,ky,0.9961475162584535
ACH-000434_KY-1_H1915_c906R1_KY-1,ky,0.8899991712687056
ACH-000434_KY-1_H1915_c906R2_KY-1,ky,0.882192297501995
ACH-000434_KY-1_H1915_c906R3_KY-1,ky,0.894714954598234
ACH-000841_KY-1_H2087_c906R1_KY-1,ky,0.8788223373298016
ACH-000841_KY-1_H2087_c906R2_KY-1,ky,0.8737766749379652
ACH-000841_KY-1_H2087_c906R3_KY-1,ky,0.885105144703068
ACH-001081_KY-2_HCC299_c903R1_KY-2,ky,0.9640373449298764
ACH-001081_KY-2_HCC299_c903R2_KY-2,ky,0.9832388160858656
ACH-001081_KY-2_HCC299_c903R3_KY-2,ky,0.97739693686871
ACH-001517_KY-1_HEC1_c907R1_KY-1,ky,0.9482746662042657
ACH-001517_KY-1_HEC1_c907R2_KY-1,ky,0.9625270811148239
ACH-001517_KY-1_HEC1_c907R3_KY-1,ky,0.9619873896595208
ACH-000969_KY-1_KM12_c908R1_100_KY-1,ky,0.9221554343834425
ACH-000969_KY-1_KM12_c908R2_100_KY-1,ky,0.9074725644947109
ACH-000969_KY-1_KM12_c908R3_100_KY-1,ky,0.942187402100495
ACH-000714_KY-1_KMS11_c907R1_KY-1,ky,0.942071081497188
ACH-000714_KY-1_KMS11_c907R2_KY-1,ky,0.9293398672206432
ACH-000714_KY-1_KMS11_c907R3_KY-1,ky,0.940155729744728
ACH-000855_KY-1_KYSE15_c907R1_KY-1,ky,0.9459721742846077
ACH-000855_KY-1_KYSE15_c907R2_KY-1,ky,0.9468830978652076
ACH-000855_KY-1_KYSE15_c907R3_KY-1,ky,0.9362619018800935
ACH-000784_KY-1_KYSE70_c907R1_KY-1,ky,0.9486408689925349
ACH-000784_KY-1_KYSE70_c907R2_KY-1,ky,0.9652359052972236
ACH-000784_KY-1_KYSE70_c907R3_KY-1,ky,0.953124233474115
ACH-000183_KY-1_L363_c907R4_KY-1,ky,0.9864064823979395
ACH-000183_KY-1_L363_c907R5_KY-1,ky,0.9803794712449336
ACH-000183_KY-1_L363_c907R6_KY-1,ky,0.9874399197301574
ACH-002265_KY-1_LB771H_c908R1_KY-1,ky,0.9499458484637896
ACH-002265_KY-1_LB771H_c908R2_KY-1,ky,0.9541555444235303
ACH-002265_KY-1_LB771H_c908R3_KY-1,ky,0.9189839867821002
ACH-000787_KY-1_LXF289_c906R1_KY-1,ky,0.988663350449294
ACH-000787_KY-1_LXF289_c906R2_KY-1,ky,0.9895006662087463
ACH-000787_KY-1_LXF289_c906R3_KY-1,ky,0.9843280268075325
ACH-000935_KY-2_MDST8_c903R3_KY-2,ky,0.950395740460171
ACH-000192_KY-1_MFE280_C908R1_KY-1,ky,0.7749455609994557
ACH-000192_KY-1_MFE280_C908R2_KY-1,ky,0.786562972990907
ACH-000192_KY-1_MFE280_C908R3_KY-1,ky,0.7596072582611969
ACH-000527_KY-1_OVISE_c905R2_KY-1,ky,0.9101670064013159
ACH-000527_KY-1_OVISE_c905R3_KY-1,ky,0.9340002545202465
ACH-002189_KY-1_RCCFG2_C908R1_KY-1,ky,0.9041843585454573
ACH-002189_KY-1_RCCFG2_C908R2_KY-1,ky,0.91598526226575
ACH-002189_KY-1_RCCFG2_C908R3_KY-1,ky,0.9279381475305137
ACH-002029_KY-1_SAS_c907R1_KY-1,ky,0.9692239151741958
ACH-002029_KY-1_SAS_c907R2_KY-1,ky,0.9840508241828364
ACH-002029_KY-1_SAS_c907R3_KY-1,ky,0.9648523821571532
ACH-000149_KY-1_SKNSH_c906R1_KY-1,ky,0.9899902876176062
ACH-000149_KY-1_SKNSH_c906R2_KY-1,ky,0.9861974253828913
ACH-000149_KY-1_SKNSH_c906R3_KY-1,ky,0.9825732818361392
ACH-000991_KY-2_SNU81_c903R1_KY-2,ky,0.981258766750438
ACH-000991_KY-2_SNU81_c903R2_KY-2,ky,0.9764492929175534
ACH-000991_KY-2_SNU81_c903R3_KY-2,ky,0.9834745832071567
ACH-000958_KY-2_SW48_C902R1_P1D14_KY-2,ky,0.97221295270864
ACH-000958_KY-2_SW48_C902R2_P1D14_KY-2,ky,0.9798419122595002
ACH-000958_KY-2_SW48_C902R3_P1D14_KY-2,ky,0.9740148908839426
ACH-000147_KY-2_T47d_c903R2_KY-2,ky,0.9363063786364447
ACH-000147_KY-2_T47d_c903R3_KY-2,ky,0.9371233593094132
